[FLY99],RAJ2000,DEJ2000,[WBD96],ABmag,z_spec,z_phot,Type
357,12 36 52.561,+62 12 33.61,3-509.0,25.89,,0.64,2
358,12 36 50.644,+62 12 27.81,3-505.0,26.04,,1.72,4
359,12 36 56.120,+62 12 44.68,3-512.0,25.48,4.022,3.56,4
360,12 36 46.585,+62 12 15.54,4-350.0,27.5,,1.16,4
361,12 36 54.183,+62 12 39.10,3-501.0,26.07,,3.04,4
362,12 36 46.736,+62 12 16.18,4-336.0,27.07,,0.0,4
363,12 36 49.991,+62 12 26.28,3-515.11,24.43,,0.0,3
364,12 36 44.571,+62 12 09.62,4-527.0,26.61,,0.4,3
365,12 36 41.596,+62 12 00.57,4-839.0,24.88,0.483,0.24,3
366,12 36 42.697,+62 12 04.08,4-725.0,26.37,,1.56,4
367,12 36 57.296,+62 12 49.32,3-489.0,26.74,,4.76,4
368,12 36 45.275,+62 12 12.35,4-456.0,27.8,,1.68,3
369,12 36 46.388,+62 12 15.86,4-372.0,26.52,,0.64,4
370,12 36 58.167,+62 12 52.14,3-488.0,27.55,,2.44,4
371,12 36 49.899,+62 12 26.97,3-515.2,26.66,,1.92,4
372,12 36 52.774,+62 12 36.03,3-483.0,26.52,,1.6,4
373,12 36 44.068,+62 12 09.22,4-576.2,26.93,,1.52,4
374,12 36 52.008,+62 12 33.71,3-484.0,26.73,,1.36,4
375,12 36 46.727,+62 12 17.64,4-334.0,26.74,,0.68,3
376,12 36 55.807,+62 12 45.64,3-481.0,27.4,,1.36,4
377,12 36 52.485,+62 12 35.46,3-480.0,27.61,,2.0,4
378,12 36 44.012,+62 12 09.53,4-576.1,25.56,,2.84,4
379,12 36 48.313,+62 12 22.80,4-170.0,27.72,,0.56,3
